id,RH_type
1,Ideal
2,Ideal
3,Ideal
4,Ideal
5,Ideal
6,Ideal
7,Ideal
8,Ideal
9,Ideal
10,Ideal
11,Dry
12,Dry
13,Dry
14,Ideal
15,Ideal
16,Ideal
17,Ideal
18,Ideal
19,Ideal
20,Ideal
21,Ideal
22,Ideal
23,Ideal
24,Ideal
25,Ideal
26,Ideal
27,Ideal
28,Ideal
29,Ideal
30,Ideal
31,Ideal
32,Ideal
33,Ideal
34,Ideal
35,Ideal
36,Ideal
37,Dry
38,Dry
39,Dry
40,Dry
41,Dry
42,Dry
43,Dry
44,Dry
45,Dry
46,Dry
47,Dry
48,Dry
49,Dry
50,Dry
51,Dry
52,Dry
53,Dry
54,Dry
55,Dry
56,Dry
57,Dry
58,Dry
59,Dry
60,Dry
61,Dry
62,Dry
63,Dry
64,Dry
65,Dry
66,Dry
67,Dry
68,Dry
69,Dry
70,Dry
71,Dry
72,Dry
73,Dry
74,Dry
75,Dry
76,Dry
77,Dry
78,Dry
79,Dry
80,Dry
81,Dry
82,Dry
83,Dry
84,Dry
85,Dry
86,Dry
87,Dry
88,Dry
89,Dry
90,Dry
91,Dry
92,Dry
93,Dry
94,Dry
95,Dry
96,Dry
97,Dry
98,Dry
99,Dry
100,Dry
101,Dry
102,Dry
103,Dry
104,Dry
105,Dry
106,Dry
107,Dry
108,Dry
109,Dry
110,Dry
111,Dry
112,Dry
113,Dry
114,Dry
115,Dry
116,Slightly Elevated
117,Ideal
118,Slightly Elevated
119,Slightly Elevated
120,Ideal
121,Slightly Elevated
122,Elevated
123,Elevated
124,Elevated
125,Elevated
126,Elevated
127,Ideal
128,Ideal
129,Ideal
130,Ideal
131,Slightly Elevated
132,Slightly Elevated
133,Slightly Elevated
134,Slightly Elevated
135,Slightly Elevated
136,Slightly Elevated
137,Slightly Elevated
138,Slightly Elevated
139,Slightly Elevated
140,Slightly Elevated
141,Elevated
142,Slightly Elevated
143,Slightly Elevated
144,Slightly Elevated
145,Slightly Elevated
146,Slightly Elevated
147,Slightly Elevated
148,Slightly Elevated
149,Slightly Elevated
150,High
151,Slightly Elevated
152,Slightly Elevated
153,Slightly Elevated
154,Slightly Elevated
155,Slightly Elevated
156,Ideal
157,Ideal
158,Ideal
159,Ideal
160,Ideal
161,Ideal
162,Ideal
163,Ideal
164,Ideal
165,Slightly Elevated
166,Elevated
167,Elevated
168,Elevated
169,Elevated
170,Elevated
171,Elevated
172,Elevated
173,Elevated
174,Ideal
175,Ideal
176,Ideal
177,Ideal
178,Ideal
179,Ideal
180,Ideal
181,Ideal
182,Ideal
183,Dry
184,Dry
185,Dry
186,Dry
187,Dry
188,Dry
189,Dry
190,Ideal
191,Ideal
192,Ideal
193,Ideal
194,Ideal
195,Ideal
196,Ideal
197,Ideal
198,Ideal
199,Ideal
200,Ideal
201,Ideal
202,Ideal
203,Dry
204,Dry
205,Dry
206,Dry
207,Dry
208,Ideal
209,Dry
210,Dry
211,Dry
212,Ideal
213,Ideal
214,Ideal
215,Ideal
216,Ideal
217,Ideal
218,Slightly Elevated
219,Ideal
220,Slightly Elevated
221,Slightly Elevated
222,Ideal
223,Ideal
224,Ideal
225,Ideal
226,Ideal
227,Ideal
228,Ideal
229,Ideal
230,Ideal
231,Ideal
232,Ideal
233,Ideal
234,Ideal
235,Ideal
236,Ideal
237,Ideal
238,Ideal
239,Ideal
240,Ideal
241,Ideal
242,Ideal
243,Ideal
244,Ideal
245,Ideal
246,Ideal
247,Ideal
248,Ideal
249,Ideal
250,Ideal
251,Ideal
252,Ideal
253,Ideal
254,Ideal
255,Ideal
256,Ideal
257,Ideal
258,Ideal
259,Ideal
260,Ideal
261,Ideal
262,Ideal
263,Ideal
